name,category,location,phone,address,rating,is_open,score,priority,missing,source,scraped_at
Ace Mechanics,mechanics,"Victoria, Australia",1800 223 263,Mechanic · G F/430 Little Collins St,4.6,True,90,HOT,[],google_maps_playwright,2026-06-04T23:20:05.410548+00:00
Ace Mechanics,mechanics,"Victoria, Australia",1800 223 263,Mechanic · G F/430 Little Collins St,4.6,True,90,HOT,[],google_maps_playwright,2026-06-04T23:20:05.410885+00:00
"Team MPE #1 ""Mike's Performance Exhaust & Mechanical""",mechanics,"Victoria, Australia",(323) 752-1737,Muffler shop ·  · 221 W Florence Ave,4.7,True,90,HOT,[],google_maps_playwright,2026-06-04T23:20:05.410896+00:00
