name,address,phone,website,rating,reviews,price_range,category,location,discovered_at,scraper
Plumb Medic - Emergency Plumber Melbourne,3/394 Collins St,,,4.9,335,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782224+00:00,peekaboo
Your Pro Plumber - Blocked Drain & Emergency Plumber | Melbourne,24/139 Cardigan St,+61 1300 100 977,,4.9,169,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782780+00:00,peekaboo
Victorian Plumbing Group Pty Ltd,3 Ripley Ct,+61 423 714 902,,5.0,298,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782803+00:00,peekaboo
VIC Plumbing Maintenance,17 Carson St,+61 400 299 447,,4.9,134,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782820+00:00,peekaboo
Maintenance Plumbing Melbourne,,+61 434 022 483,,4.9,105,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782842+00:00,peekaboo
OnCall Emergency Plumbers - Blocked Drains & Emergency Plumber Melbourne,890 Riversdale Rd,+61 472 723 915,,5.0,485,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782877+00:00,peekaboo
24/7 Emergency Plumbers Australia,,+61 1800 247 372,,5.0,50,,plumbers,"Victoria, Australia",2026-05-17T21:30:30.782922+00:00,peekaboo
