price,address,zpid,beds,baths,sqft,agent
1000000,"12113 Cascade Caverns Trl, Austin, TX 78739",64443019,5,4,3935,""
398000,"1806 Krizan Ave, Austin, TX 78727",29443350,3,2,1334,""
625000,"8409 Nairn Dr, Austin, TX 78749",29496220,4,3,2238,"KELLER WILLIAMS REALTY"
680000,"12712 Twisted Briar Ln, Austin, TX 78729",29596334,5,4,3154,"KELLER WILLIAMS REALTY"
9950000,"4402 Aqua Verde Dr, Austin, TX 78746",29348440,5,6,6200,""
325000,"12704 Bloomington Dr, Austin, TX 78748",442199950,4,2,1800,"KELLER WILLIAMS REALTY"
239500,"4509 Magin Meadow Dr, Austin, TX 78744",64465341,3,2,1232,"KELLER WILLIAMS REALTY"
725000,"6501 Willamette Dr, Austin, TX 78723",29408382,3,2,1904,"KELLER WILLIAMS REALTY"
20000000,"15016 Flat Top Ranch Rd, Austin, TX 78732",89551133,6,7,9725,""
